地積,不整形地,南側道路あり,駅距離,建ぺい率,総価格
172,0,1,1500,60,7396000
182,1,0,1100,60,8626800
165,0,0,1000,60,9273000
219,0,0,650,60,17191500
174,0,0,1600,40,4889400
248,0,0,1200,50,8456800
220,0,0,1000,60,7964000
165,0,0,900,60,5049000
238,0,1,1400,50,7782600
244,0,0,1300,60,7734800
174,0,0,1100,40,13415400
218,0,1,550,60,8044200
110,1,0,1100,60,3454000
115,0,0,300,80,5313000
185,0,0,1300,60,4680500
205,0,0,1500,60,4756000
231,0,0,480,60,9471000
231,0,0,1200,40,7507500
209,0,0,800,50,6311800
231,0,0,400,60,5613300
182,0,0,350,60,28028000
165,0,0,1000,40,17325000
170,0,0,1700,40,13294000
167,0,0,1500,40,12925800
210,0,0,1600,60,11403000
174,0,0,1500,40,12754200
231,0,0,1200,60,11642400
149,0,0,400,60,4619000
191,0,0,1000,60,3991900
224,0,0,1200,50,13552000
199,0,0,470,60,17392600
132,0,0,500,50,4514400
186,0,0,350,40,14880000
202,0,0,600,50,7474000
166,0,0,200,60,8947400
218,1,1,120,80,23762000
161,1,0,700,60,12026700
132,0,1,1200,60,7590000
191,0,1,1000,40,19673000
185,0,0,1000,40,19610000
166,0,0,1900,60,7055000
187,0,0,1200,60,20757000
167,0,0,1400,60,5845000
198,0,0,1800,60,23562000
177,0,0,700,60,29559000
225,0,0,1400,60,36225000
191,0,0,1300,40,20819000
148,0,0,1200,50,6008800
167,0,0,800,60,5060100
169,0,0,600,60,5272800
193,0,1,1800,50,3512600
239,0,1,650,60,15080900
100,0,0,1400,60,3590000
114,0,0,150,80,9393600
179,0,0,720,60,11366500
198,1,0,550,60,3346200
194,0,0,1100,60,11504200
142,0,0,1600,50,5779400
213,0,0,1800,50,9691500
192,0,1,420,60,14784000
198,0,1,1300,60,5722200
223,1,0,640,60,8920000
170,0,0,1800,60,6035000
172,1,0,700,60,3388400
148,0,0,1800,60,6082800
246,0,0,1500,60,11586600
199,0,0,1800,60,8497300
212,0,0,400,80,12804800
240,0,0,1300,50,10128000
231,1,1,1200,60,4920300
174,0,0,1400,40,3775800
165,0,1,700,60,7128000
212,0,0,270,80,12274800
220,0,0,1500,40,11880000
216,0,0,1100,60,15984000
103,0,0,150,80,18746000
176,0,0,1900,40,3678400
186,0,0,1300,60,8779200
247,0,0,1200,60,14079000
204,0,1,1800,60,9180000
208,0,0,1300,40,6510400
233,0,0,1700,40,7269600
236,0,0,600,60,6254000
229,0,0,1500,60,7396700
237,0,0,1500,60,8010600
174,0,0,1800,60,5289600
117,1,0,250,80,5171400
192,0,0,650,60,2995200
234,0,1,1100,50,6107400
194,0,1,1000,60,9661200
222,1,0,600,60,10300800
121,0,0,1200,80,6884900
156,0,0,850,80,11013600
178,0,0,750,60,10021400
204,0,0,500,80,14586000
228,0,1,1000,50,7888800
186,0,0,300,60,6882000
198,0,0,600,60,4811400
