経度,緯度,所在地コード,用途,連番,年次,前年所在地コード,前年用途,前年連番,市区町村名,住居表示,行政,地積,利用の現況,利用状況表示,建物構造,施設,形状区分,間口（比率）,奥行（比率）,階層（地上）,階層（地下）,前面道路区分,前面道路の方位区分,前面道路の幅員,前面道路の舗装状況,側道区分,側道方位区分,周辺の土地の利用の現況,駅名,駅距離,用途区分,防火区分,都市計画区分,森林区分,公園区分,建ぺい率,容積率,共通地点区分,選定年次ビット,Ｓ５８価格,Ｓ５９価格,Ｓ６０価格,Ｓ６１価格,Ｓ６２価格,Ｓ６３価格,Ｈ１価格,Ｈ２価格,Ｈ３価格,Ｈ４価格,Ｈ５価格,Ｈ６価格,Ｈ７価格,Ｈ８価格,Ｈ９価格,Ｈ１０価格,Ｈ１１価格,Ｈ１２価格,Ｈ１３価格,Ｈ１４価格,Ｈ１５価格,Ｈ１６価格,Ｈ１７価格,Ｈ１８価格,Ｈ１９価格,Ｈ２０価格,Ｈ２１価格,Ｈ２２価格,Ｈ２３価格,Ｈ２４価格,Ｈ２５価格,Ｈ２６価格,Ｈ２７価格,Ｈ２８価格,Ｈ２９価格,属性移動Ｓ５９,属性移動Ｓ６０,属性移動Ｓ６１,属性移動Ｓ６２,属性移動Ｓ６３,属性移動Ｈ１,属性移動Ｈ２,属性移動Ｈ３,属性移動Ｈ４,属性移動Ｈ５,属性移動Ｈ６,属性移動Ｈ７,属性移動Ｈ８,属性移動Ｈ９,属性移動Ｈ１０,属性移動Ｈ１１,属性移動Ｈ１２,属性移動Ｈ１３,属性移動Ｈ１４,属性移動Ｈ１５,属性移動Ｈ１６,属性移動Ｈ１７,属性移動Ｈ１８,属性移動Ｈ１９,属性移動Ｈ２０,属性移動Ｈ２１,属性移動Ｈ２２,属性移動Ｈ２３,属性移動Ｈ２４,属性移動Ｈ２５,属性移動Ｈ２６,属性移動Ｈ２７,属性移動Ｈ２８,属性移動Ｈ２９
502915.719,130288.576,08204,000,002,2017,08204,000,002,古河,茨城県　古河市桜町１０−４６,08204,172,10000000000000000,_,W2,101,_,010,012,02,0,市区町村道,南,0060,_,_,_,戸建住宅が建ち並ぶ区画整然とした住宅地域,古河,1500,1中専,_,市街化,_,_,60,200,false,11111111111111111111111111111111111,80200,83600,85000,86000,92000,98500,110000,127000,133000,130000,121000,120000,118000,113000,108000,104000,98100,85500,76000,67800,60800,55600,52000,49600,49600,49600,47400,45700,44000,43300,43000,43000,43000,43000,43000,1000000000,1100000000,1000000000,1000000000,1000010000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000100,1000000000,1000000000,2000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000001000,1000000000,1000000000,1000000000,1000000000,1000000000,1001000000,1001000000,10000000000000
502919.763,130216.410,08204,000,016,2017,08204,000,016,古河,茨城県　古河市新久田字大塚５０５番４,08204,387,10000000000000000,_,W2,100,_,010,020,02,0,市区町村道,北東,0067,_,_,_,一般住宅、農家住宅が見られる住宅地域,古河,3400,_,_,調区,_,_,60,200,false,11111111111111111111111111111111111,18200,18800,19200,19400,19700,20000,21100,22400,23500,23500,23500,23500,23500,23500,23500,23500,23500,23500,23200,22900,22000,21200,20000,19000,18200,17800,17300,16900,16500,16300,16200,16100,16000,15900,15800,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000011,1000000000,1000000000,1000000011,1000000000,1100000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,2000000100,1000000000,1001000000,1001000000,10000000000000
502941.191,130302.297,08204,005,003,2017,08204,005,003,古河,茨城県　古河市本町１−３−９,08204,645,01000000000000000,_,SRC3F1B,101,_,010,015,03,1,都道府県道,西,0180,_,側道,南,各種の店舗が建ち並ぶ県道沿いの商業地域,古河,300,商業,準防,市街化,_,_,80,400,true,00000000000000000000111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163000,135000,114000,99000,92400,90200,86600,81700,76600,76000,75400,75200,75100,75100,75100,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000010,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1001000000,1000000000,1001000000,1001000000,10000000000000
502950.757,130266.990,08204,000,008,2017,08204,000,008,古河,茨城県　古河市幸町２−３１,08204,182,10000000000000000,_,LS2,101,台形,010,012,02,0,市区町村道,南西,0040,_,_,_,中規模一般住宅を中心にまとまる住宅地域,古河,1100,1中専,_,市街化,_,_,60,200,false,00000000001111111111111111111111111,0,0,0,0,0,0,0,0,0,0,130000,125000,123000,120000,115000,110000,99000,92100,85000,79000,72600,67400,62700,59500,59000,58000,55000,53300,51600,50700,48800,48000,47800,47600,47400,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1000000000,1000000110,1000010000,1000000000,2000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000100000,1000000000,1000000000,1000000000,1000000000,1001000000,1001000000,10000000000000
502952.812,130144.897,08204,003,001,2017,08204,003,001,古河,茨城県　古河市中田字堀ノ内１６４１番１,08204,852,00000000000001000,_,_,100,_,010,012,00,0,道路,_,0000,_,_,_,周辺が徐々に宅地化されつつある熟成度の高い地域,栗橋,3200,1中専,_,市街化,_,_,60,200,false,00000000000000011111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29700,26700,24000,21600,19000,18000,17000,16000,15000,15000,14800,14500,14100,13600,13400,13200,13100,13000,12900,12800,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1100000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1001100000,1001100000,10000000000000
502956.538,130303.233,08204,005,001,2017,08204,005,001,古河,茨城県　古河市東１−１−５,08204,116,01100000000000000,_,S3,101,台形,010,020,03,0,市区町村道,南,9999,_,背面道,_,店舗事務所ビルの建ち並ぶ駅前商業地域,古河,0,商業,準防,市街化,_,_,80,400,false,00000000000000000011111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253000,223000,210000,195000,178000,163000,155000,150000,145000,138000,130000,126000,123000,122000,122000,122000,122000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1000000000,1000000010,1000000000,1000000000,1110000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1001000000,1001000000,10000000000000
502959.511,130239.694,08204,000,006,2017,08204,000,006,古河,茨城県　古河市鴻巣字北ノ内７０４番４３,08204,197,10000000000000000,_,W2,100,_,010,012,02,0,市区町村道,北,0040,_,_,_,一般住宅の中に空地が見られる新興の住宅地域,古河,2100,2低専,_,市街化,_,_,60,200,false,00000000011111111111111111111111111,0,0,0,0,0,0,0,0,0,97000,93000,92700,91700,90600,88800,86000,77500,74900,70500,66400,62500,58500,55800,53600,53300,53000,52300,51200,49500,47100,45000,44000,43500,43300,43200,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1000000000,1000000000,1000000100,1000000000,1000000000,2000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1100000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1001000000,1001000000,10000000000000
502967.512,130325.654,08204,000,007,2017,08204,000,007,古河,茨城県　古河市北町３−３,08204,165,10000000000000000,_,W2,101,_,010,010,02,0,市区町村道,西,0045,_,_,_,中規模の一般住宅が多い区画整然とした住宅地域,古河,1000,1中専,_,市街化,_,_,60,200,false,00000011111111111111111111111111111,0,0,0,0,0,0,114000,136000,144000,143000,133000,130000,128000,125000,118000,113000,103000,92700,86200,80200,73800,68600,63800,60700,60100,59800,59000,58400,56700,56000,55600,55600,55800,56000,56200,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1000000000,1000000000,1000010000,1000000000,1000000000,1000000100,1000000000,1000000000,2000000000,1010000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1001000000,1001000000,10000000000000
502978.301,130304.993,08204,000,004,2017,08204,000,004,古河,茨城県　古河市東３−１５−２３,08204,219,10000000000000000,_,W2,101,_,010,020,02,0,市区町村道,南東,0080,_,_,_,中規模一般住宅が建ち並ぶ住宅地域,古河,650,1住居,_,市街化,_,_,60,200,false,00000000000000000000000000000011111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75000,76100,77100,77900,78500,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1001000000,1001000000,10000000000000
502986.043,130352.064,08204,000,005,2017,08204,000,005,古河,茨城県　古河市静町２７−２８,08204,200,10000000000000000,_,W2,101,_,010,020,02,0,市区町村道,南西,0060,_,_,_,中規模一般住宅のまとまる分譲住宅地域,古河,2000,1低専,_,市街化,_,_,50,100,false,00000000000111111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,100000,99000,97800,95800,95000,85800,77300,69600,62600,57500,54000,51700,51000,51000,50500,49000,47600,46000,45500,45200,45000,44900,44800,44700,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,0000000000,4000000000,1000000000,1000000100,1000000000,1000010000,2000000000,1000000000,1000000000,1000000000,1000001000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1000000000,1001000000,1001000000,10000000000000
